userId,movieId,rating
1,29,3.5
53,29,5
78,29,4
96,29,4
104,29,3
132,29,5
162,29,3.5
166,29,5
201,29,5
204,29,5
205,29,4
208,29,5
252,29,3.5
272,29,5
276,29,3
283,29,4
295,29,2
324,29,5
326,29,5
335,29,4
359,29,2
399,29,4
412,29,3
413,29,4.5
427,29,3
448,29,4.5
488,29,5
490,29,4
492,29,3.5
521,29,4
522,29,3.5
614,29,4
663,29,3
665,29,4
723,29,0.5
748,29,2
758,29,5
763,29,1.5
815,29,5
846,29,3.5
847,29,5
865,29,3.5
916,29,3.5
931,29,4
940,29,4
950,29,5
969,29,4
982,29,4
990,29,3.5
1,32,3.5
3,32,4
4,32,1
11,32,5
12,32,3
13,32,5
19,32,2
21,32,4
23,32,5
24,32,4
25,32,3.5
29,32,3
34,32,4
39,32,3
46,32,3
50,32,4
53,32,4
54,32,5
69,32,5
72,32,5
77,32,3.5
88,32,3.5
91,32,4
95,32,4
96,32,4
100,32,3
102,32,4.5
105,32,4
108,32,4
109,32,4
114,32,3
116,32,4
124,32,5
126,32,2
130,32,5
131,32,3
132,32,4.5
134,32,3
140,32,5
143,32,3
147,32,3.5
149,32,3
155,32,4.5
156,32,5
158,32,4
163,32,4.5
164,32,3
168,32,5
170,32,5
184,32,3
190,32,4.5
200,32,5
202,32,5
204,32,5
205,32,4
211,32,3
215,32,2
216,32,4
220,32,4.5
224,32,5
226,32,3
232,32,4.5
233,32,3
237,32,5
241,32,4
245,32,4
246,32,4
254,32,5
257,32,1
260,32,4
263,32,5
265,32,3
269,32,1
271,32,4.5
272,32,5
278,32,4
283,32,5
284,32,3
290,32,2.5
294,32,4
298,32,3
303,32,4
309,32,2.5
310,32,3
325,32,5
330,32,4
332,32,1
336,32,4
342,32,4.5
344,32,4
349,32,4
354,32,4
359,32,3
367,32,2.5
368,32,4
370,32,5
372,32,4.5
379,32,4
380,32,4
385,32,3.5
389,32,3
393,32,5
399,32,4
406,32,3
412,32,4.5
413,32,4
414,32,4
421,32,3.5
424,32,4
427,32,4.5
435,32,3
440,32,4.5
447,32,5
448,32,5
451,32,3
457,32,4
461,32,3
462,32,3.5
465,32,4
469,32,4
473,32,3
480,32,4
481,32,5
485,32,2.5
488,32,3
489,32,2
490,32,5
492,32,4.5
503,32,4.5
508,32,4.5
516,32,4
517,32,4
529,32,3
534,32,3
536,32,5
543,32,3.5
545,32,5
574,32,2
578,32,3.5
579,32,4
581,32,3.5
587,32,3
597,32,3
598,32,3
603,32,4
609,32,3.5
610,32,1
613,32,4
614,32,5
620,32,3
621,32,4
623,32,3
624,32,4
630,32,3.5
635,32,4
643,32,3
648,32,4
650,32,5
658,32,4
659,32,5
662,32,4.5
663,32,4
670,32,5
672,32,4
675,32,4
